query_id,question,current_category,current_gold_paragraph_ids,top_candidate_paragraph_ids,top_candidate_score,top_candidate_terms,top_candidate_snippet,flags,suggested_action,rationale
q_001,How many days per week can employees work remotely?,answerable,"it_security_addendum_2025::p0010::i0000::2f11ad6d4db3,internal_policy_handbook_v2::p0003::i0000::06a108ae6638","internal_policy_handbook_v2::p0003::i0000::06a108ae6638,it_security_addendum_2025::p0010::i0000::2f11ad6d4db3,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd,hr_procedures_manual::p0006::i0002::8c5195f8b5ea,hr_procedures_manual::p0006::i0001::deb71c875e84",0.1471,"days,per,remotely,week,work","2. Remote Work Policy Employees are permitted to work remotely up to 3 days per week, subject to line manager approval. Remote work arrangem...",ok,keep_as_is,
q_002,What approval is needed for remote work?,answerable,"internal_policy_handbook_v2::p0003::i0002::4ff99839f515,business_continuity_plan::p0006::i0001::1b79d125164c","internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0003::i0000::06a108ae6638,it_security_addendum_2025::p0010::i0002::c1185648ca2d,internal_policy_handbook_v2::p0015::i0000::6df99b46d995,business_continuity_plan::p0006::i0001::1b79d125164c",0.1,"approval,remote,work",Flexible scheduling outside core hours requires written approval from the department head. Remote workers must use company-provided equipmen...,ok,keep_as_is,
q_003,What encryption requirements apply to sensitive data?,answerable,"it_security_addendum_2025::p0009::i0000::183a741f2188,it_security_addendum_2025::p0009::i0001::94f54294107e","it_security_addendum_2025::p0009::i0000::183a741f2188,internal_policy_handbook_v2::p0016::i0003::b1a57efd1cfa,internal_policy_handbook_v2::p0015::i0001::d2998ba49253,internal_policy_handbook_v2::p0014::i0001::57e8f6f4cafc,internal_policy_handbook_v2::p0004::i0004::9087d5809fff",0.1379,"data,encryption,requirements,sensitive","8. Encryption Standards Update Encryption of sensitive data at rest is mandatory for all CONFIDENTIAL and RESTRICTED data, using AES-256 or ...",ok,keep_as_is,
q_004,Are employees allowed to use personal devices for work?,unanswerable,,"internal_policy_handbook_v2::p0009::i0000::40d044dc00be,internal_policy_handbook_v2::p0003::i0002::4ff99839f515,internal_policy_handbook_v2::p0014::i0000::22101d8d9bb7,internal_policy_handbook_v2::p0014::i0003::c79e6cb648ff,internal_policy_handbook_v2::p0015::i0002::e695f02f6cd9",0.1379,"devices,personal,use,work","8. Acceptable Use of IT Resources Company IT resources, including email, internet, software, and hardware, are provided for business purpose...",unanswerable_but_corpus_hit:score=0.138,review_for_relabel_to_answerable,Top candidate internal_policy_handbook_v2::p0009::i0000::40d044dc00be score 0.138 suggests the corpus may answer this.
q_005,What is the company holiday allowance?,unanswerable,,hr_procedures_manual::p0009::i0002::7121ca2702e5,0.0323,holiday,"Building access badges must be returned to reception. Any company data on personal devices must be deleted, and BYOD containers are remotely...",ok,keep_as_is,
q_006,Is data encryption required for public non-sensitive information?,unanswerable,,"internal_policy_handbook_v2::p0015::i0001::d2998ba49253,internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,it_security_addendum_2025::p0009::i0000::183a741f2188,it_security_addendum_2025::p0009::i0002::bc360aab40fa,internal_policy_handbook_v2::p0003::i0001::15d93e095fce",0.1,"data,encryption,public,sensitive",Loaner devices are available from IT Security with 5 working days notice. All data on travel devices must be encrypted with full-disk encryp...,unanswerable_but_corpus_hit:score=0.100,review_for_relabel_to_answerable,Top candidate internal_policy_handbook_v2::p0015::i0001::d2998ba49253 score 0.100 suggests the corpus may answer this.
q_007,What is the policy on working from overseas?,unanswerable,,"hr_procedures_manual::p0002::i0001::8f3cd99ab52d,hr_procedures_manual::p0008::i0000::559a594dc2ac,hr_procedures_manual::p0008::i0001::cedb99dfaf25,hr_procedures_manual::p0004::i0000::3a0d666b6de8,it_security_addendum_2025::p0012::i0002::3aacdb1f0e2f",0.0476,working,"All procedures described herein have been reviewed by the Legal team for compliance with UK employment law, including the Employment Rights ...",ok,keep_as_is,
q_008,Can employees expense home office furniture?,unanswerable,,"dpia_guide::p0006::i0002::73884001cfbf,internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0010::i0001::a429d2df3997,dpia_guide::p0003::i0002::3b55b02d188b",0.0345,office,"IT Security: advises on technical security measures, reviews proposed architectures for security adequacy, and validates that security contr...",ok,keep_as_is,
q_009,What are the rules about office parking?,unanswerable,,"dpia_guide::p0006::i0000::cd80757c80bd,dpia_guide::p0006::i0002::73884001cfbf,internal_policy_handbook_v2::p0007::i0003::03fcb10e88c0,business_continuity_plan::p0006::i0001::1b79d125164c,internal_policy_handbook_v2::p0010::i0001::a429d2df3997",0.0435,about,"5. Roles and Responsibilities Project Owner: responsible for initiating the DPIA, providing accurate information about the processing, imple...",ok,keep_as_is,
q_010,Is there a dress code policy?,unanswerable,,"hr_procedures_manual::p0007::i0003::d7c4d5d65724,internal_policy_handbook_v2::p0016::i0001::e63c4a2d9475,internal_policy_handbook_v2::p0016::i0003::b1a57efd1cfa,it_security_addendum_2025::p0012::i0001::bf457b1030af",0.0769,there,Expired warnings are retained but not used as active precedents unless there is a pattern of similar behaviour.,ok,keep_as_is,
q_011,What is the maximum probation period?,unanswerable,,"hr_procedures_manual::p0007::i0000::79d6a3fb9ccd,hr_procedures_manual::p0005::i0002::cdca5a88de58,it_security_addendum_2025::p0010::i0002::c1185648ca2d,business_continuity_plan::p0002::i0001::d74958bf3cdd,hr_procedures_manual::p0009::i0000::ceb3a6266920",0.0833,"period,probation",6. Disciplinary Procedure The disciplinary procedure applies to all employees who have completed their probation period. Probationary employ...,ok,keep_as_is,
q_012,Does the policy cover mental health support?,unanswerable,,"internal_policy_handbook_v2::p0005::i0001::33c21bb359ec,hr_procedures_manual::p0005::i0002::cdca5a88de58,internal_policy_handbook_v2::p0011::i0001::e39835111609,hr_procedures_manual::p0004::i0001::dd27fc0421a8,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd",0.037,support,The system will enforce this automatically by prompting users 14 days before expiration. Employees who fail to change their password by the ...,ok,keep_as_is,
q_013,What are the fire safety procedures?,unanswerable,,"hr_procedures_manual::p0001::i0000::269fd6c9de54,it_security_addendum_2025::p0006::i0001::2de87d1b4bda,business_continuity_plan::p0005::i0000::87741b18e9c0,hr_procedures_manual::p0002::i0000::a364864d4789,hr_procedures_manual::p0002::i0001::8f3cd99ab52d",0.0833,procedures,HR Procedures Manual Version 2.0 - January 2025 Classification: INTERNAL,ok,keep_as_is,
q_014,How long is the notice period for resignation?,unanswerable,,"hr_procedures_manual::p0009::i0000::ceb3a6266920,hr_procedures_manual::p0009::i0001::1646c1c409f6,it_security_addendum_2025::p0011::i0002::161ab3ee8096,hr_procedures_manual::p0007::i0000::79d6a3fb9ccd,hr_procedures_manual::p0005::i0002::cdca5a88de58",0.0667,"notice,period",8. Leaving the Company Employees resigning from the company must provide notice in writing as specified in their contract. The standard noti...,ok,keep_as_is,
q_015,What travel insurance does the company provide?,unanswerable,,"internal_policy_handbook_v2::p0015::i0002::e695f02f6cd9,internal_policy_handbook_v2::p0018::i0002::fb1801c89096,hr_procedures_manual::p0009::i0000::ceb3a6266920,internal_policy_handbook_v2::p0015::i0000::6df99b46d995,internal_policy_handbook_v2::p0003::i0003::4ac9f6f1cedd",0.037,travel,"Mobile hotspot is the preferred connection method. Upon return from high-risk travel, loaner devices must be returned to IT Security for for...",ok,keep_as_is,
q_016,Is there a grievance procedure?,unanswerable,,"hr_procedures_manual::p0008::i0000::559a594dc2ac,hr_procedures_manual::p0007::i0003::d7c4d5d65724,internal_policy_handbook_v2::p0013::i0001::9168698ee976,hr_procedures_manual::p0007::i0000::79d6a3fb9ccd,hr_procedures_manual::p0008::i0001::cedb99dfaf25",0.087,"grievance,procedure",7. Grievance Procedure Employees who wish to raise a formal grievance should submit their complaint in writing to the HR Business Partner fo...,ok,keep_as_is,
q_017,Can part-time employees work remotely?,unanswerable,,"internal_policy_handbook_v2::p0002::i0000::26755fe4b5b4,it_security_addendum_2025::p0010::i0002::c1185648ca2d,internal_policy_handbook_v2::p0003::i0000::06a108ae6638,business_continuity_plan::p0003::i0002::5cd506df2a59,hr_procedures_manual::p0002::i0001::8f3cd99ab52d",0.0833,"part,time","1. Introduction and Scope This Internal Policy Handbook outlines the policies, procedures, and standards that govern employee conduct and or...",ok,keep_as_is,
q_018,What is the minimum password length?,answerable,"it_security_addendum_2025::p0003::i0000::d2a928aa94b0,internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522","internal_policy_handbook_v2::p0005::i0000::efdcaf0bd522,it_security_addendum_2025::p0003::i0000::d2a928aa94b0,internal_policy_handbook_v2::p0005::i0001::33c21bb359ec,internal_policy_handbook_v2::p0011::i0000::8fcca5a66916,internal_policy_handbook_v2::p0005::i0002::15202f861778",0.1071,"length,minimum,password",4. Password and Authentication Policy All employees must use strong passwords for all company systems. Passwords must meet the following min...,ok,keep_as_is,
